acc,congruency,response_time,subject_nr
91.4285714286,con,775,11
91.5492957746,con,1190,11
91.6666666667,con,792,11
91.7808219178,con,516,11
90.5405405405,con,704,11
90.6666666667,inc,891,11
90.7894736842,con,626,11
90.9090909091,con,686,11
91.0256410256,con,724,11
91.1392405063,neutral,635,11
91.25,con,641,11
91.3580246914,con,724,11
91.4634146341,con,902,11
91.5662650602,con,834,11
90.4761904762,inc,597,11
90.5882352941,con,938,11
90.6976744186,con,735,11
90.8045977011,con,781,11
90.9090909091,con,542,11
91.0112359551,con,683,11
91.1111111111,inc,503,11
91.2087912088,con,582,11
91.3043478261,con,595,11
91.3978494624,con,499,11
91.4893617021,con,927,11
91.5789473684,inc,667,11
91.6666666667,con,930,11
91.7525773196,con,460,11
91.8367346939,con,650,11
91.9191919192,con,493,11
92,con,426,11
92.0792079208,con,618,11
92.1568627451,con,488,11
92.2330097087,con,574,11
92.3076923077,con,559,11
92.380952381,con,428,11
92.4528301887,neutral,454,11
92.523364486,con,632,11
92.5925925926,con,735,11
92.6605504587,con,434,11
92.7272727273,con,583,11
92.7927927928,con,635,11
92.8571428571,con,482,11
92.9203539823,con,1464,11
92.9824561404,con,613,11
93.0434782609,con,640,11
93.1034482759,con,658,11
93.1623931624,con,425,11
93.2203389831,con,475,11
93.2773109244,neutral,795,11
93.3333333333,con,672,11
93.3884297521,con,711,11
93.4426229508,inc,1000,11
93.4959349593,con,561,11
93.5483870968,con,384,11
93.6,con,533,11
93.6507936508,con,888,11
93.7007874016,con,474,11
93.75,con,379,11
93.7984496124,con,563,11
93.8461538462,con,1085,11
93.893129771,con,407,11
93.9393939394,neutral,1077,11
93.984962406,con,618,11
94.0298507463,con,626,11
94.0740740741,con,448,11
94.1176470588,inc,865,11
94.1605839416,neutral,1043,11
94.2028985507,con,778,11
94.2446043165,con,570,11
94.2857142857,inc,465,11
94.3262411348,inc,450,11
94.3661971831,con,859,11
94.4055944056,con,678,11
94.4444444444,con,598,11
94.4827586207,con,558,11
94.5205479452,con,566,11
94.5578231293,con,609,11
94.5945945946,con,1198,11
94.6308724832,neutral,1358,11
94.6666666667,con,1226,11
94.701986755,con,1030,11
94.7368421053,con,726,11
94.7712418301,con,508,11
94.8051948052,neutral,881,11
94.8387096774,con,643,11
94.8717948718,con,896,11
94.9044585987,con,603,11
94.9367088608,inc,839,11
94.9685534591,con,641,11
95,inc,725,11
95.0617283951,inc,1161,11
94.4785276074,inc,2000,11
94.512195122,inc,864,11
94.5454545455,inc,622,11
94.578313253,inc,942,11
94.6107784431,inc,789,11
94.6428571429,inc,677,11
94.674556213,inc,698,11
94.7058823529,inc,583,11
94.7368421053,inc,440,11
94.7674418605,inc,750,11
94.7976878613,con,1171,11
94.8275862069,inc,687,11
94.8571428571,inc,596,11
94.8863636364,inc,484,11
94.9152542373,inc,599,11
94.3820224719,inc,501,11
94.4134078212,inc,638,11
94.4444444444,inc,466,11
94.4751381215,inc,759,11
94.5054945055,inc,1112,11
94.5355191257,inc,449,11
94.5652173913,inc,918,11
94.5945945946,con,546,11
94.623655914,inc,850,11
94.6524064171,inc,716,11
94.6808510638,con,607,11
94.708994709,neutral,726,11
94.7368421053,inc,480,11
94.7643979058,con,540,11
94.7916666667,neutral,524,11
94.8186528497,inc,474,11
94.8453608247,inc,976,11
94.8717948718,inc,649,11
94.8979591837,inc,601,11
94.923857868,inc,812,11
94.9494949495,inc,674,11
94.9748743719,inc,530,11
95,inc,609,11
95.0248756219,inc,611,11
95.0495049505,inc,1154,11
95.0738916256,inc,442,11
95.0980392157,inc,802,11
94.6341463415,inc,562,11
94.6601941748,inc,882,11
94.6859903382,inc,1145,11
94.7115384615,con,481,11
94.7368421053,neutral,957,11
94.7619047619,con,564,11
94.7867298578,inc,645,11
94.8113207547,inc,446,11
94.8356807512,neutral,1163,11
94.8598130841,inc,719,11
94.8837209302,inc,591,11
94.9074074074,inc,699,11
94.930875576,inc,639,11
94.9541284404,inc,682,11
94.9771689498,inc,750,11
95,neutral,513,11
95.0226244344,neutral,935,11
95.045045045,inc,524,11
95.067264574,inc,539,11
95.0892857143,inc,1015,11
95.1111111111,inc,1023,11
95.1327433628,neutral,565,11
95.154185022,inc,748,11
95.1754385965,inc,527,11
95.1965065502,inc,737,11
94.7826086957,inc,537,11
94.8051948052,inc,979,11
94.8275862069,inc,611,11
94.8497854077,inc,627,11
94.8717948718,inc,442,11
94.8936170213,inc,496,11
94.4915254237,inc,534,11
94.5147679325,inc,634,11
94.1176470588,inc,666,11
94.1422594142,inc,478,11
94.1666666667,con,515,11
94.1908713693,inc,558,11
94.2148760331,inc,644,11
94.2386831276,inc,747,11
94.262295082,inc,648,11
94.2857142857,inc,724,11
94.3089430894,inc,550,11
94.3319838057,neutral,591,11
94.3548387097,inc,415,11
93.9759036145,inc,682,11
94,inc,807,11
94.0239043825,neutral,552,11
94.0476190476,con,518,11
94.0711462451,inc,500,11
94.094488189,inc,599,11
94.1176470588,inc,621,11
93.75,inc,934,11
93.7743190661,inc,565,11
93.7984496124,inc,843,11
93.8223938224,inc,792,11
93.8461538462,con,873,11
93.8697318008,inc,585,11
93.893129771,inc,424,11
93.9163498099,inc,393,11
93.9393939394,inc,460,11
93.9622641509,inc,618,11
93.6090225564,con,473,11
93.6329588015,inc,1077,11
93.6567164179,inc,573,11
93.6802973978,inc,999,11
93.7037037037,neutral,739,11
93.7269372694,neutral,786,11
93.75,inc,717,11
93.7728937729,inc,668,11
93.795620438,inc,672,11
93.8181818182,con,618,11
93.8405797101,inc,870,11
93.8628158845,inc,596,11
93.8848920863,inc,1018,11
93.5483870968,con,471,11
93.5714285714,neutral,1098,11
93.5943060498,inc,434,11
100,con,627,12
80,inc,753,12
83.3333333333,con,992,12
71.4285714286,inc,886,12
75,con,941,12
66.6666666667,con,1019,12
70,inc,1001,12
72.7272727273,inc,955,12
75,neutral,886,12
76.9230769231,con,657,12
78.5714285714,neutral,984,12
80,con,732,12
81.25,neutral,788,12
76.4705882353,neutral,680,12
77.7777777778,neutral,876,12
73.6842105263,inc,887,12
75,neutral,769,12
76.1904761905,neutral,1119,12
77.2727272727,inc,606,12
78.2608695652,inc,949,12
79.1666666667,con,552,12
76,con,593,12
76.9230769231,neutral,891,12
77.7777777778,neutral,589,12
78.5714285714,neutral,956,12
79.3103448276,neutral,573,12
80,neutral,913,12
80.6451612903,inc,757,12
81.25,con,761,12
81.8181818182,inc,450,12
82.3529411765,inc,809,12
80,con,697,12
80.5555555556,con,1305,12
81.0810810811,inc,594,12
81.5789473684,inc,1003,12
82.0512820513,con,786,12
80.487804878,neutral,768,12
80.9523809524,con,650,12
81.3953488372,inc,734,12
79.5454545455,inc,962,12
80,inc,886,12
80.4347826087,inc,773,12
80.8510638298,inc,819,12
81.25,inc,1265,12
79.5918367347,inc,857,12
78,inc,637,12
78.431372549,inc,1151,12
78.8461538462,inc,746,12
77.358490566,inc,845,12
77.7777777778,con,690,12
78.1818181818,inc,817,12
78.5714285714,con,1150,12
78.9473684211,inc,695,12
79.3103448276,inc,612,12
79.6610169492,con,763,12
80,inc,587,12
80.3278688525,inc,839,12
80.6451612903,inc,579,12
80.9523809524,inc,419,12
79.6875,inc,660,12
80,inc,1019,12
78.7878787879,inc,980,12
79.1044776119,con,798,12
79.4117647059,neutral,826,12
79.7101449275,neutral,697,12
78.5714285714,inc,816,12
78.8732394366,inc,834,12
79.1666666667,inc,1209,12
79.4520547945,inc,944,12
79.7297297297,inc,525,12
80,inc,592,12
80.2631578947,neutral,537,12
80.5194805195,inc,464,12
80.7692307692,inc,748,12
79.746835443,con,621,12
78.75,inc,771,12
79.012345679,inc,710,12
79.2682926829,inc,643,12
78.313253012,inc,937,12
